STATE/UT,DISTRICT,Year,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls ,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women
ANDHRA PRADESH,ANANTAPUR,2014,35,0,0,0,35,0,35,1,106,0,0,0,88,18,25,436,82,34,4,80,236,26,0,0,0,26,165,0,50,20,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,1097
ANDHRA PRADESH,CHITTOOR,2014,32,0,0,0,32,1,31,0,34,3,0,1,28,2,17,135,0,0,0,0,135,94,0,0,0,94,278,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,607
ANDHRA PRADESH,CUDDAPAH,2014,28,0,0,0,28,0,28,4,16,0,0,0,11,5,16,215,212,0,0,0,3,12,1,11,0,0,91,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,175,0,0,0,5,0,0,0,0,5,0,609
ANDHRA PRADESH,EAST GODAVARI,2014,85,0,0,0,85,0,85,18,25,0,0,0,0,25,7,519,159,61,11,55,233,62,0,0,0,62,464,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,22,0,0,0,16,0,0,0,0,16,0,1277
ANDHRA PRADESH,GUNTAKAL RAILWAY,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,2014,49,0,0,0,49,0,49,24,46,5,0,0,0,41,16,245,17,7,3,8,210,347,0,0,0,347,454,0,33,9,0,0,6,6,0,0,0,0,0,0,0,3,4,0,39,0,0,0,0,0,0,11,0,0,0,0,11,14,1300
ANDHRA PRADESH,GUNTUR URBAN,2014,40,0,0,0,40,1,39,8,56,0,0,0,0,56,12,160,0,0,0,0,160,452,0,0,0,452,345,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,1125
ANDHRA PRADESH,KRISHNA,2014,80,0,0,0,80,1,79,20,34,13,0,0,19,2,8,354,98,44,13,76,123,232,2,0,0,230,613,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,35,0,0,0,0,0,0,4,0,0,0,0,4,0,1411
ANDHRA PRADESH,KURNOOL,2014,32,0,0,0,32,1,31,4,37,0,0,0,16,21,12,403,81,18,2,40,262,251,0,0,0,251,362,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,39,0,0,0,2,0,0,0,0,2,0,1213
ANDHRA PRADESH,NELLORE,2014,58,0,0,0,58,3,55,16,124,48,1,1,64,10,14,295,79,14,8,32,162,205,0,62,56,87,362,0,35,28,0,0,4,1,1,2,0,0,1,0,1,17,5,1,0,0,0,1,0,0,0,19,0,0,0,0,19,0,1185
